Name,Owner,URL,Description
Exercicio-Padrao-StrategyUsandoEnum-Disciplina-Map-UNIFACISA,emanuel-rodrigues,https://github.com/emanuel-rodrigues/Exercicio-Padrao-StrategyUsandoEnum-Disciplina-Map-UNIFACISA,primeiro commit
springbootexample,eduardolfalcao,https://github.com/eduardolfalcao/springbootexample,"Simple project used as example for the course of ""Práticas de Programação"" at Unifacisa."
Dispositivos-Portateis,amAraujo,https://github.com/amAraujo/Dispositivos-Portateis,Repositório da disciplina de Programação a Dispositivos Portáteis do curso de Sistemas de Informação da UNIFACISA.
jatic2017,adrianosantospb,https://github.com/adrianosantospb/jatic2017,Curso de introdução à ciência de dados ministrado no JATIC 2017 - UNIFACISA
facisa-plp,daniel-abella,https://github.com/daniel-abella/facisa-plp,Repositório da Disciplina de Paradigmas de Linguagens de Programação (PLP) da UniFacisa
PP-Project,HanielbFerreira,https://github.com/HanielbFerreira/PP-Project, Project for a discipline called Práticas de Programação on University UNIFACISA 
profiles_ionic,thiagobarros19,https://github.com/thiagobarros19/profiles_ionic,Aplicação criada como atividade da disciplina PROGRAMAÇÃO PARA DISPOSITIVOS PORTÁTEIS na UNIFACISA
dotnet-facisa,SezinandoVieira,https://github.com/SezinandoVieira/dotnet-facisa,Repositório destinado para as atividades do Curso de .Net da Unifacisa
Programacao-2020.2,annie-bot,https://github.com/annie-bot/Programacao-2020.2,Disciplina da Unifacisa programação 2 - 2020.2 com o prof. Eduardo Falcão.
ArquiteturaSoftware,matheushenriquelima,https://github.com/matheushenriquelima/ArquiteturaSoftware,Atividades utilizando Spring para disciplina de Arquitetura de Software da Unifacisa
Poo2Facisa,SolracSiul,https://github.com/SolracSiul/Poo2Facisa,Repositório criado para a disciplina de Programação Orientada a objetos na @unifacisa;
programarwebfrontend-exercicios,pedrohpdo,https://github.com/pedrohpdo/programarwebfrontend-exercicios,"Exercícios da competência ""Programar Web Front End"" - Unifacisa, Campina Grande, PB"
-facisa-plp-162,dennerricardo,https://github.com/dennerricardo/-facisa-plp-162,Repositório criado para a disciplina de Paradigmas de Programação | Sistemas de Informação - UNIFACISA
projetoBasicoHtml,ArthurOcg,https://github.com/ArthurOcg/projetoBasicoHtml,Para seguir as aulas do treinamento de front-end de férias da UniFacisa.
exemplo-microservice-arq-si,rafaeldoug,https://github.com/rafaeldoug/exemplo-microservice-arq-si,Exemplo de microservice para a disciplina de Arquitetura de Software 2021.2 - Sistemas de Informação-Unifacisa
P2Exercicio2,brunogamacatao,https://github.com/brunogamacatao/P2Exercicio2,Repositório da primeira lista de exercícios da disciplina programação 2 Unifacisa 2020.2
Projeto-de-Algoritmos-2019.2,GustavoFLino,https://github.com/GustavoFLino/Projeto-de-Algoritmos-2019.2,Códigos da disciplina de Projeto de Algoritmos do curso de Jogos Digitais da UniFacisa 2019.2
TreinamentoFrontEnd,pedromrj,https://github.com/pedromrj/TreinamentoFrontEnd,"Tela puro HTML , CSS e JS feitas para o treinamento front-end unifacisa"
tap20221_backend,brunogamacatao,https://github.com/brunogamacatao/tap20221_backend,"Backend feito com node, mongoose e JWT para a disciplina TAP da Unifacisa - Semestre 2022.1"
Java-University-Activity,Robertobr122,https://github.com/Robertobr122/Java-University-Activity,"activities carried out at unifacisa university, located in Campina Grande, Paraíba, Brazil"
e-commerce-microservices,mateus-lourenco,https://github.com/mateus-lourenco/e-commerce-microservices,Exemplo de Micro-serviços com SpringCloud para a disciplina de Arquitetura de software na Unifacisa - PB
pp_atividade01_p2,MikaelThemoteo,https://github.com/MikaelThemoteo/pp_atividade01_p2,Repositprio para atividade 1 da P2 da disciplina Práticas de Programação SI-Unifacisa
http-estudos,ramorim1998,https://github.com/ramorim1998/http-estudos,Estudos de requisições HTTP do treinamento de Front-End Unifacisa-LTI
Projeto-abella,SolracSiul,https://github.com/SolracSiul/Projeto-abella,Projeto para a disciplina de Marketing do curso de Sistemas de Informação unifacisa
ianstagram,ianmichaelxp,https://github.com/ianmichaelxp/ianstagram,Projeto para avaliação na disciplina de práticas de programação da Unifacisa
Projeto-Junit-Teste,italoFelipeDev,https://github.com/italoFelipeDev/Projeto-Junit-Teste,Projeto para a disciplina de testes no curso de Sistemas de Informação - Unifacisa.
carros_facisa_back,brunogamacatao,https://github.com/brunogamacatao/carros_facisa_back,"Backend de loja de carros desenovlvido na disciplina TAP, curso SI, Unifacisa"
